model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.726027397260274,0.12903225806451613,0.8,0.2222222222222222,0.8385185185185184
Decision Tree,0.5675146771037182,0.08823529411764706,0.84,0.1596958174904943,0.8203806584362141
Naive Bayes,0.5596868884540117,0.08677685950413223,0.84,0.15730337078651685,0.796604938271605
